signal_date,entry_date,exit_date,holding_days,underlying_code,call_code,put_code,spot_at_signal,strike,dte,entry_call_price,entry_put_price,exit_call_price,exit_put_price,entry_premium,exit_premium,gross_pnl,cost,net_pnl,return_on_premium,atm_iv,rv20,iv_rank,iv_percentile,iv_minus_rv20,entry_mode_used,signal_call_close,signal_put_close,signal_call_volume,signal_put_volume,signal_call_open_interest,signal_put_open_interest,signal_straddle_close,signal_straddle_premium_to_spot,entry_call_open,entry_put_open,entry_straddle_open,exit_call_close,exit_put_close,exit_straddle_close,signal_call_bid,signal_call_ask,signal_put_bid,signal_put_ask,call_bid_ask_spread,put_bid_ask_spread
2024-01-02,2024-01-03,2024-01-03,1,000852.SH,MO2401-C-5900.CFE,MO2401-P-5900.CFE,5854.7494,5900.0,17,55.0,133.0,44.4,133.0,188.94,176.513,-1059.9999999999995,182.6999999999969,-1242.6999999999964,-0.0657722028157085,0.1432855857428268,,,,,next_open,55.2,121.8,9921.0,4698.0,5472.0,2234.0,177.0,0.0302318661153968,55.0,133.0,188.0,44.4,133.0,177.4,,,,,,
2024-01-02,2024-01-03,2024-01-04,2,000852.SH,MO2401-C-5900.CFE,MO2401-P-5900.CFE,5854.7494,5900.0,17,55.0,133.0,33.8,163.6,188.94,196.413,939.9999999999976,192.6999999999964,747.3000000000013,0.0395522388059702,0.1432855857428268,,,,,next_open,55.2,121.8,9921.0,4698.0,5472.0,2234.0,177.0,0.0302318661153968,55.0,133.0,188.0,33.8,163.6,197.4,,,,,,
2024-01-02,2024-01-03,2024-01-05,3,000852.SH,MO2401-C-5900.CFE,MO2401-P-5900.CFE,5854.7494,5900.0,17,55.0,133.0,15.6,246.4,188.94,260.69,7400.0,224.99999999999727,7175.000000000003,0.379750185243993,0.1432855857428268,,,,,next_open,55.2,121.8,9921.0,4698.0,5472.0,2234.0,177.0,0.0302318661153968,55.0,133.0,188.0,15.6,246.4,262.0,,,,,,
2024-01-02,2024-01-03,2024-01-09,5,000852.SH,MO2401-C-5900.CFE,MO2401-P-5900.CFE,5854.7494,5900.0,17,55.0,133.0,4.6,399.0,188.94,401.582,21560.000000000004,295.8000000000029,21264.2,1.1254472319254794,0.1432855857428268,,,,,next_open,55.2,121.8,9921.0,4698.0,5472.0,2234.0,177.0,0.0302318661153968,55.0,133.0,188.0,4.6,399.0,403.6,,,,,,
2024-01-03,2024-01-04,2024-01-04,1,000852.SH,MO2401-C-5800.CFE,MO2401-P-5800.CFE,5824.0428,5800.0,16,81.0,78.0,66.6,99.0,159.795,164.772,659.9999999999994,162.29999999999905,497.7000000000004,0.0311461560123909,0.1370226889612633,,,,,next_open,85.2,76.8,9231.0,8977.0,2873.0,2179.0,162.0,0.0278157296508878,81.0,78.0,159.0,66.6,99.0,165.6,,,,,,
2024-01-03,2024-01-04,2024-01-05,2,000852.SH,MO2401-C-5800.CFE,MO2401-P-5800.CFE,5824.0428,5800.0,16,81.0,78.0,32.8,164.0,159.795,195.816,3780.000000000001,177.89999999999964,3602.1000000000013,0.2254200694640008,0.1370226889612633,,,,,next_open,85.2,76.8,9231.0,8977.0,2873.0,2179.0,162.0,0.0278157296508878,81.0,78.0,159.0,32.8,164.0,196.8,,,,,,
2024-01-03,2024-01-04,2024-01-08,3,000852.SH,MO2401-C-5800.CFE,MO2401-P-5800.CFE,5824.0428,5800.0,16,81.0,78.0,17.2,338.4,159.795,353.82199999999995,19660.0,257.2999999999993,19402.7,1.214224475108733,0.1370226889612633,,,,,next_open,85.2,76.8,9231.0,8977.0,2873.0,2179.0,162.0,0.0278157296508878,81.0,78.0,159.0,17.2,338.4,355.6,,,,,,
2024-01-03,2024-01-04,2024-01-10,5,000852.SH,MO2401-C-5800.CFE,MO2401-P-5800.CFE,5824.0428,5800.0,16,81.0,78.0,8.2,319.2,159.795,325.763,16839.999999999996,243.1999999999971,16596.8,1.038630745642855,0.1370226889612633,,,,,next_open,85.2,76.8,9231.0,8977.0,2873.0,2179.0,162.0,0.0278157296508878,81.0,78.0,159.0,8.2,319.2,327.4,,,,,,
2024-01-04,2024-01-05,2024-01-05,1,000852.SH,MO2401-C-5800.CFE,MO2401-P-5800.CFE,5783.0155,5800.0,15,65.0,102.0,32.8,164.0,167.83499999999998,195.816,2980.000000000001,181.89999999999876,2798.100000000002,0.1667173116453661,0.1468059748531542,,,,,next_open,66.6,99.0,11946.0,9184.0,4068.0,2744.0,165.6,0.028635579482711,65.0,102.0,167.0,32.8,164.0,196.8,,,,,,
2024-01-04,2024-01-05,2024-01-08,2,000852.SH,MO2401-C-5800.CFE,MO2401-P-5800.CFE,5783.0155,5800.0,15,65.0,102.0,17.2,338.4,167.83499999999998,353.82199999999995,18860.0,261.2999999999993,18598.7,1.1081538415705905,0.1468059748531542,,,,,next_open,66.6,99.0,11946.0,9184.0,4068.0,2744.0,165.6,0.028635579482711,65.0,102.0,167.0,17.2,338.4,355.6,,,,,,
